"","MAG_name","phylum","class","order","family","genus","nitrogen_cycling","lowest_rank"
"1","g2_MAG_00027","Proteobacteria","Alphaproteobacteria","Rickettsiales","21-14-0-20-44-7",NA,"N","21-14-0-20-44-7"
"2","g1_MAG_00006","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae",NA,"Y","Akkermansiaceae"
"3","g3_MAG_00008","Proteobacteria","Alphaproteobacteria","Sphingomonadales","Sphingomonadaceae","Altererythrobacter","Y","Altererythrobacter"
"4","g3_MAG_00005","Proteobacteria","Gammaproteobacteria","UBA10353","UBA7415","Arenicella","Y","Arenicella"
"5","g1_MAG_00011","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Ascidiaceihabitans","Y","Ascidiaceihabitans"
"6","g2_MAG_00036","Patescibacteria","Gracilibacteria","BD1-5",NA,NA,"N","BD1-5"
"7","g2_MAG_00038","Bdellovibrionota","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae",NA,"N","Bacteriovoracaceae"
"8","g2_MAG_00020","Bdellovibrionota",NA,NA,NA,NA,"N","Bdellovibrionota"
"9","g1_MAG_00009","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Dokdonia","N","Dokdonia"
"10","g3_MAG_00016","Proteobacteria","Alphaproteobacteria","Rhodobacterales","Rhodobacteraceae","Flavimaricola","Y","Flavimaricola"
"11","g2_MAG_00011","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","GCA-1730015","Y","GCA-1730015"
"12","g1_MAG_00003","Proteobacteria","Gammaproteobacteria","Enterobacterales","Alteromonadaceae","GCA-2401725","Y","GCA-2401725"
"13","g1_MAG_00005","Proteobacteria","Alphaproteobacteria","Rickettsiales","Rickettsiaceae","GCA-2402195","N","GCA-2402195"
"14","g1_MAG_00004","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae","GCA-2708415","N","GCA-2708415"
"15","g2_MAG_00033","Bdellovibrionota","Bacteriovoracia","Bacteriovoracales","Bacteriovoracaceae","GCA-2713145","N","GCA-2713145"
"16","g1_MAG_00002","Proteobacteria","Gammaproteobacteria","Granulosicoccales","Granulosicoccaceae","Granulosicoccus","Y","Granulosicoccus"
"17","g2_MAG_00017","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","HC6-5","N","HC6-5"
"18","g3_MAG_00018","Proteobacteria","Alphaproteobacteria","Caulobacterales","Maricaulaceae","Hellea","N","Hellea"
"19","g3_MAG_00006","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Lacinutrix","N","Lacinutrix"
"20","g3_MAG_00025","Proteobacteria","Alphaproteobacteria","Caulobacterales","Maricaulaceae","Litorimonas","Y","Litorimonas"
"21","g4_MAG_00002","Planctomycetota","Planctomycetes","Pirellulales","Pirellulaceae","Mariniblastus","Y","Mariniblastus"
"22","g2_MAG_00024","Proteobacteria","Alphaproteobacteria","Micavibrionales","Micavibrionaceae",NA,"N","Micavibrionaceae"
"23","g2_MAG_00013","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Nonlabens","N","Nonlabens"
"24","g2_MAG_00001","Bdellovibrionota","Oligoflexia","Oligoflexales",NA,NA,"N","Oligoflexales"
"25","g2_MAG_00006","Bacteroidota","Bacteroidia","Flavobacteriales","Flavobacteriaceae","Olleya","N","Olleya"
"26","g3_MAG_00007","Planctomycetota","Phycisphaerae","Phycisphaerales","Phycisphaeraceae","Phycisphaera","N","Phycisphaera"
"27","g2_MAG_00008","Proteobacteria","Alphaproteobacteria","Rickettsiales",NA,NA,"N","Rickettsiales"
"28","g2_MAG_00002","Proteobacteria","Alphaproteobacteria","Caulobacterales","Maricaulaceae","Robiginitomaculum","N","Robiginitomaculum"
"29","g3_MAG_00023","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","SW10","N","SW10"
"30","g2_MAG_00030","Proteobacteria","Alphaproteobacteria","Rickettsiales","SXRF01",NA,"N","SXRF01"
"31","g3_MAG_00001","Proteobacteria","Gammaproteobacteria","Pseudomonadales","HTCC2089","SYFY01","N","SYFY01"
"32","g1_MAG_00010","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae",NA,"N","Saprospiraceae"
"33","g2_MAG_00004","Bdellovibrionota","Bdellovibrionia","Bdellovibrionales","UBA1609",NA,"N","UBA1609"
"34","g1_MAG_00012","Patescibacteria","Gracilibacteria","BD1-5","UBA6164",NA,"N","UBA6164"
"35","g2_MAG_00025","Bacteroidota","Bacteroidia","Chitinophagales","Saprospiraceae","UBA7328","N","UBA7328"
"36","g3_MAG_00019","Proteobacteria","Gammaproteobacteria","UBA10353","UBA7415",NA,"Y","UBA7415"
"37","g1_MAG_00001","Verrucomicrobiota","Verrucomicrobiae","Verrucomicrobiales","Akkermansiaceae","UBA985","N","UBA985"
